name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_12057395695_863282875_0,12057395695,863282875,6.355553586647693,13.411200000000001,0.2,1,residential,False
tc_1245017210_10756047097_0,1245017210,10756047097,5.401910040987209,8.940800000000001,0.2,1,primary,True
tc_1293046425_863283549_0,1293046425,863283549,23.22156715708045,13.411200000000001,0.2,1,residential,False
tc_1293046425_863284431_0,1293046425,863284431,24.42484375231717,13.411200000000001,0.2,1,residential,False
tc_1293046425_863284431_1,1293046425,863284431,28.3730541908721,13.411200000000001,0.2,1,residential,False
tc_1368354220_1368354220_0,1368354220,1368354220,127.96640692019372,13.411200000000001,0.2,1,residential,False
tc_1368354220_1368354220_1,1368354220,1368354220,127.96640692019372,13.411200000000001,0.2,1,residential,False
tc_1368354220_355710025_0,1368354220,355710025,83.21734470071088,13.411200000000001,0.2,1,residential,False
tc_1596861450_1596861459_0,1596861450,1596861459,61.68939120596217,8.88888888888889,0.2,1,residential,False
tc_1596861450_343450940_0,1596861450,343450940,699.9114612167307,8.88888888888889,0.2,1,unclassified,False
tc_1596861450_8856171269_0,1596861450,8856171269,59.097455385169894,8.88888888888889,0.2,1,unclassified,False
tc_1596861459_1596861450_0,1596861459,1596861450,61.68939120596217,8.88888888888889,0.2,1,residential,False
tc_1596861556_1596861557_0,1596861556,1596861557,72.55078058261235,13.411200000000001,0.2,1,residential,False
tc_1596861557_1596861556_0,1596861557,1596861556,72.55078058261235,13.411200000000001,0.2,1,residential,False
tc_1596861557_1596861558_0,1596861557,1596861558,21.602308642195755,13.411200000000001,0.2,1,residential,False
tc_1596861557_373310062_0,1596861557,373310062,186.37800052968373,13.411200000000001,0.2,1,residential,False
tc_1596861558_1596861557_0,1596861558,1596861557,21.602308642195755,13.411200000000001,0.2,1,residential,False
tc_1596861575_1596861576_0,1596861575,1596861576,104.63902732436985,8.940800000000001,0.2,1,residential,False
tc_1596861575_243978956_0,1596861575,243978956,69.46470089399567,8.940800000000001,0.2,1,residential,False
tc_1596861575_681623163_0,1596861575,681623163,31.88823728737392,8.940800000000001,0.2,1,residential,False
tc_1596861576_1596861575_0,1596861576,1596861575,104.63902732436986,8.940800000000001,0.2,1,residential,False
tc_1596861576_1596861578_0,1596861576,1596861578,22.913500526548173,8.940800000000001,0.2,1,residential,False
